+----------------------+------------+----------------------+
| Token                | Type       | Line                 |
| IDENTIFIER           | 142        | a                    |
| PUNCTUATION          | 142        | +                    |
| IDENTIFIER           | 142        | b                    |
| PUNCTUATION          | 142        | ;                    |
| PUNCTUATION          | 143        | }                    |
| KEYWORD              | 145        | int                  |
| IDENTIFIER           | 145        | factorial            |
| PUNCTUATION          | 145        | (                    |
| KEYWORD              | 145        | int                  |
| IDENTIFIER           | 145        | n                    |
| PUNCTUATION          | 145        | )                    |
| PUNCTUATION          | 145        | {                    |
| KEYWORD              | 146        | int                  |
| IDENTIFIER           | 146        | fact                 |
| OPERATOR             | 146        | =                    |
| LITERAL_NUMBER       | 146        | 1                    |
| PUNCTUATION          | 146        | ;                    |
| KEYWORD              | 147        | for                  |
| PUNCTUATION          | 147        | (                    |
| KEYWORD              | 147        | int                  |
| IDENTIFIER           | 147        | i                    |
| OPERATOR             | 147        | =                    |
| LITERAL_NUMBER       | 147        | 1                    |
| PUNCTUATION          | 147        | ;                    |
| IDENTIFIER           | 147        | i                    |
| OPERATOR             | 147        | <=                   |
| IDENTIFIER           | 147        | n                    |
| PUNCTUATION          | 147        | ;                    |
| IDENTIFIER           | 147        | i                    |
| OPERATOR             | 147        | ++                   |
| PUNCTUATION          | 147        | )                    |
| IDENTIFIER           | 148        | fact                 |
| OPERATOR             | 148        | *=                   |
| IDENTIFIER           | 148        | i                    |
| PUNCTUATION          | 148        | ;                    |
| KEYWORD              | 149        | return               |
| IDENTIFIER           | 149        | fact                 |
| PUNCTUATION          | 149        | ;                    |
| PUNCTUATION          | 150        | }                    |
+----------------------+------------+----------------------+
